Points:0,Exx,Eyy,Ezz,Exy,Eyz,Exz,Stress-xx,Stress-yy,Stress-zz,Stress-xy,Stress-yz,Stress-xz
1692.1,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.2,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.2,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.3,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.3,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.4,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.5,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.5,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.6,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.6,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.7,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.8,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.8,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.9,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1692.9,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1693,-0.00255349,0.00208257,0.0006633,-2.071074E-06,3.199859E-05,0.000666478,-0.52526,42.622,41.578,3.1017,-0.0023674,0.036446
1693.1,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.1,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.2,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.2,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.3,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.4,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.4,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.5,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.5,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.6,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.7,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.7,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.8,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.8,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1693.9,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1694,-0.00225291,0.00208138,0.00066322,-1.69485E-06,2.602857E-05,0.00062308,-0.12756,101.96,100.03,7.3391,-0.0025693,0.039689
1694,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.1,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.1,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.2,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
1694.3,-0.00224983,0.00207887,0.00066314,-1.187165E-06,1.820231E-05,0.00062228,-0.065434,102.16,99.946,7.3486,-0.0019628,0.030325
